time_UTC,latitude_degrees_north,longitude_degrees_east,BAA,BAA_MAX,DHW_Celsius_weeks,HOTSPOT_Celsius,SST_Celsius,SSTANOMALY_Celsius
2022-02-18T12:00:00Z,-18.675,146.475,1,1,2.37,0.36,29.15,0.44
2022-02-19T12:00:00Z,-18.675,146.475,1,1,2.37,0.37,29.16,0.47
2022-02-20T12:00:00Z,-18.675,146.475,1,1,2.37,0.32,29.11,0.45
2022-02-21T12:00:00Z,-18.675,146.475,1,1,2.37,0.28,29.07,0.43
2022-02-22T12:00:00Z,-18.675,146.475,1,1,2.37,0.28,29.07,0.46
2022-02-23T12:00:00Z,-18.675,146.475,1,1,2.37,0.3,29.09,0.5
2022-02-24T12:00:00Z,-18.675,146.475,1,1,2.37,0.75,29.54,0.98
2022-02-25T12:00:00Z,-18.675,146.475,2,2,2.54,1.21,30,1.46
2022-02-26T12:00:00Z,-18.675,146.475,2,2,2.74,1.34,30.13,1.62
2022-02-27T12:00:00Z,-18.675,146.475,2,2,2.96,1.54,30.33,1.84
2022-02-28T12:00:00Z,-18.675,146.475,2,2,3.21,1.77,30.56,2.09
2022-03-01T12:00:00Z,-18.675,146.475,2,2,3.44,1.61,30.4,1.96
2022-03-02T12:00:00Z,-18.675,146.475,2,2,3.65,1.47,30.26,1.85
2022-03-03T12:00:00Z,-18.675,146.475,2,2,3.86,1.51,30.3,1.91
2022-03-04T12:00:00Z,-18.675,146.475,3,3,4.12,1.78,30.57,2.21
2022-03-05T12:00:00Z,-18.675,146.475,3,3,4.37,1.75,30.54,2.2
2022-03-06T12:00:00Z,-18.675,146.475,3,3,4.49,1.88,30.67,2.35
2022-03-07T12:00:00Z,-18.675,146.475,3,3,4.73,1.64,30.43,2.14
2022-03-08T12:00:00Z,-18.675,146.475,3,3,5.02,2.04,30.83,2.57
2022-03-09T12:00:00Z,-18.675,146.475,3,3,5.28,1.79,30.58,2.34
2022-03-10T12:00:00Z,-18.675,146.475,3,3,5.54,1.85,30.64,2.42
