Reef,Month,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Wood,1,28.79,28.12,28.94,28.72,29.05,28.52,28.95,28.53,28.39,29.17,28.91,28.85,29.08,28.86,28.91,28.91,28.98,29.31,29.26,28.92,29.54,29.71
Wood,2,28.68,29.1,28.79,29.23,29.38,28.58,28.88,28.55,29.11,28.8,29.26,29,28.52,29.28,28.39,28.59,29.7,29.61,29.12,28.21,29.44,29.26
Wood,3,28.3,28.73,28.52,28.51,28.99,28.21,28.44,28.74,28.25,28.6,29.22,29.06,28.85,28.92,28.18,28.18,29.96,29.61,28.92,28.68,29.25,28.69
Wood,4,27.87,27.41,27.48,27.77,27.46,27.52,28.08,27.5,27.02,28.38,28.68,28.19,28.02,28.21,27.76,27.6,28.72,28.45,28.33,27.98,28.29,28.38
Wood,5,26.9,26.85,26.58,26.85,27.02,26.7,26.78,26.62,26.05,27.2,27.48,26.49,27.06,27.05,26.96,26.79,28.07,27,26.72,27.1,27.2,27.26
Wood,6,24.89,25.68,26.05,26.07,25.77,25.74,26.18,25.92,25.33,26.34,26.77,25.59,25.53,26.08,25.98,25.92,27.14,25.88,25.43,25.91,26.07,26.22
Wood,7,24.21,25.12,24.97,25.27,24.79,25.36,25.29,25.04,24.74,25.94,26.03,24.37,25.29,25.46,25.08,25.14,26.25,25.32,25.07,24.84,25.47,26.14
Wood,8,23.97,24.74,24.66,24.9,24.66,24.9,24.61,24.68,24.29,25.23,26.09,24.06,24.68,25.27,24.61,24.96,25.74,25.25,25.03,24.63,25.37,25.93
Wood,9,24.71,25.18,25.13,24.8,24.79,24.8,24.7,25.04,25.38,25.68,26.54,24.6,25.14,25.44,24.97,25.25,26.14,25.14,25.14,24.54,25.47,25.9
Wood,10,25.73,26.11,25.64,26.11,25.36,25.87,24.76,25.72,26.11,26.3,27.43,26.4,26.58,26.21,25.49,25.35,27.04,26.61,26.11,25.39,26.09,27.11
Wood,11,27.89,27.58,26.53,26.52,26.72,27.42,26.21,27.08,27.57,26.96,28,27.56,27.03,27.49,26.67,26.98,27.96,27.66,27.59,26.56,27.57,28.62
Wood,12,27.77,28.68,28.26,28.21,28.07,28.5,27.33,28.23,29.32,28.47,29.45,29.21,28.1,28.38,28.8,28.3,28.58,28.61,29.19,28.4,29.17,29.74
Martin,1,28.69,27.84,29.25,28.5,29.13,28.7,28.97,28.67,28.7,29.27,28.73,29.02,28.81,28.64,28.61,28.98,29.12,29.54,28.94,28.61,29.29,29.48
Martin,2,28.55,28.55,29.23,29.27,29.44,28.8,29.24,29.13,29.2,29.28,29.1,28.69,28.7,29.01,28.43,28.91,29.82,29.6,29.25,28.91,29.62,29.34
Martin,3,28,28.77,28.59,28.25,28.93,28.13,28.56,28.37,27.87,28.13,28.84,28.78,28.53,28.81,27.89,28.49,29.72,29.84,28.73,28.81,29.01,28.72
Martin,4,27.32,27.21,27.36,27.54,26.91,27.14,27.74,26.83,26.49,27.69,27.64,26.99,27.25,27.66,27.22,27.68,28.3,28.06,27.73,27.67,28.08,28.01
Martin,5,25.79,26.2,25.76,26.12,25.9,25.88,25.62,25.96,25.06,26.15,26.29,25.36,25.82,26.04,26.23,26.29,27.26,25.94,25.77,26.15,26.3,26.12
Martin,6,23.54,24.8,24.59,25.31,24.21,24.83,24.64,24.98,24.48,25.05,25.39,23.82,23.93,24.84,24.8,24.95,26.43,24.26,24.08,24.55,24.73,25.14
Martin,7,23.16,23.92,23.33,24.2,23.38,24,23.62,23.34,23.4,24.71,25.16,22.56,23.56,23.96,23.89,24.06,25.4,24.21,23.93,23.36,24.12,24.94
Martin,8,23,23.58,23.9,23.86,23.91,23.43,23.51,23.66,23.21,24.26,25.04,23.16,23.45,24.35,23.84,24.1,24.59,24.59,24.25,23.35,24.54,24.8
