Timepoint,Date,Tank,Temp,ImageID,Stick,StickID,Species,Position,FragID,Genotype,Reef,CoralID,Area,MeanGrey,CalibratedMeanGrey
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,1,AhyaMartin17,Martin17,Martin,AC1_1_1,390.882,103.454,3.102
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,2,AhyaPalms5,Palms5,Palms,AC1_1_2,335.801,60.305,4.757
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,AC1_1_3,307.232,72.92,4.273
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,4,AhyaMartin11,Martin11,Martin,AC1_1_4,190.934,74.276,4.221
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,5,AhyaArlington9,Arlington9,Arlington,AC1_1_5,270.393,84.251,3.838
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,6,AhyaArlington1,Arlington1,Arlington,AC1_1_6,317.937,72.166,4.302
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,7,AhyaWood17,Wood17,Wood,AC1_1_7,256.19,97.2,3.342
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,9,AhyaPalms3,Palms3,Palms,AC1_1_9,255.408,62.261,4.682
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,10,AhyaArlington6,Arlington6,Arlington,AC1_1_10,203.609,82.504,3.905
0,11/01/2022,AC1,Ambient,_1111836,1,AC1_1,A. hyacinthus,11,AhyaDavies18,Davies18,Davies,AC1_1_11,389.405,68.433,4.445
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,1,PlutMartin36,Martin36,Martin,AC1_2_1,330.077,75.988,4.108
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,2,PlutPalms20,Palms20,Palms,AC1_2_2,209.369,61.198,4.68
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,3,PlutMartin14,Martin14,Martin,AC1_2_3,377.85,77.941,4.032
0,11/01/2022,AC1,Ambient,_1111838,2,AC1_2,P. lutea,4,PlutPalms23,Palms23,Palms,AC1_2_4,286.113,75.923,4.11
