Tank,ImageID,Stick,Species,Position,FragID,Genotype,Reef,Region,UniqueCoralID,Temp,T0,T1,T2,T3,T4,T5
AC1,_1111836,1,A. hyacinthus,1,AhyaMartin17,Martin17,Martin,North,AC1_1_1,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,2,AhyaPalms5,Palms5,Palms,Central,AC1_1_2,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,Central,AC1_1_3,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,4,AhyaMartin11,Martin11,Martin,North,AC1_1_4,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,5,AhyaArlington9,Arlington9,Arlington,Central,AC1_1_5,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,6,AhyaArlington1,Arlington1,Arlington,Central,AC1_1_6,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,7,AhyaWood17,Wood17,Wood,North,AC1_1_7,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,8,NA,NA,NA,NA,AC1_1_8,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111836,1,A. hyacinthus,9,AhyaPalms3,Palms3,Palms,Central,AC1_1_9,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,10,AhyaArlington6,Arlington6,Arlington,Central,AC1_1_10,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,11,AhyaDavies18,Davies18,Davies,Central,AC1_1_11,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,1,AhyaDavies15,Davies15,Davies,Central,AC1_3_1,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,2,NA,NA,NA,NA,AC1_3_2,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111839,3,A. hyacinthus,3,AhyaDavies14,Davies14,Davies,Central,AC1_3_3,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,4,AhyaArlington10,Arlington10,Arlington,Central,AC1_3_4,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,5,AhyaDavies9,Davies9,Davies,Central,AC1_3_5,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,6,AhyaWood16,Wood16,Wood,North,AC1_3_6,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,7,AhyaMartin3,Martin3,Martin,North,AC1_3_7,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,8,AhyaPalms6,Palms6,Palms,Central,AC1_3_8,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,9,NA,NA,NA,NA,AC1_3_9,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111839,3,A. hyacinthus,10,AhyaWood8,Wood8,Wood,North,AC1_3_10,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,11,AhyaPalms4,Palms4,Palms,Central,AC1_3_11,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,1,AhyaMartin12,Martin12,Martin,North,AC1_5_1,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,North,AC1_5_2,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,3,AhyaWood7A,Wood7A,Wood,North,AC1_5_3,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,4,AhyaPalms10,Palms10,Palms,Central,AC1_5_4,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,5,AhyaArlington11,Arlington11,Arlington,Central,AC1_5_5,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,6,NA,NA,NA,NA,AC1_5_6,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111842,5,A. hyacinthus,7,AhyaDavies16,Davies16,Davies,Central,AC1_5_7,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,8,AhyaDavies12,Davies12,Davies,Central,AC1_5_8,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,9,NA,NA,NA,NA,AC1_5_9,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111842,5,A. hyacinthus,10,AhyaPalms16,Palms16,Palms,Central,AC1_5_10,Ambient,1,1,1,1,1,1
AC1,_1111842,5,A. hyacinthus,11,AhyaMartin13,Martin13,Martin,North,AC1_5_11,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,1,NA,NA,NA,NA,AC2_1_1,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111863,1,A. hyacinthus,2,AhyaDavies16,Davies16,Davies,Central,AC2_1_2,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,3,AhyaMartin17,Martin17,Martin,North,AC2_1_3,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,4,AhyaWood8,Wood8,Wood,North,AC2_1_4,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,5,AhyaWood16,Wood16,Wood,North,AC2_1_5,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,6,AhyaArlington6,Arlington6,Arlington,Central,AC2_1_6,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,7,AhyaDavies14,Davies14,Davies,Central,AC2_1_7,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,8,AhyaArlington9,Arlington9,Arlington,Central,AC2_1_8,Ambient,1,1,1,1,1,1
AC2,_1111863,1,A. hyacinthus,9,NA,NA,NA,NA,AC2_1_9,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111863,1,A. hyacinthus,10,NA,NA,NA,NA,AC2_1_10,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111863,1,A. hyacinthus,11,AhyaArlington1,Arlington1,Arlington,Central,AC2_1_11,Ambient,1,1,1,1,1,1
AC2,_1111863,2,A. hyacinthus,1,NA,NA,NA,NA,AC2_2_1,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111866,3,A. hyacinthus,1,AhyaDavies15,Davies15,Davies,Central,AC2_3_1,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,2,NA,NA,NA,NA,AC2_3_2,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111866,3,A. hyacinthus,3,AhyaMartin11,Martin11,Martin,North,AC2_3_3,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,4,AhyaMart3,Martin3,Martin,North,AC2_3_4,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,5,NA,NA,NA,NA,AC2_3_5,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111866,3,A. hyacinthus,6,AhyaDavies12,Davies12,Davies,Central,AC2_3_6,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,7,AhyaDavies18,Davies18,Davies,Central,AC2_3_7,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,8,AhyaMartin13,Martin13,Martin,North,AC2_3_8,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,9,AhyaWood7A,Wood7A,Wood,North,AC2_3_9,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,10,AhyaPalms6,Palms6,Palms,Central,AC2_3_10,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,11,AhyaPalms3,Palms3,Palms,Central,AC2_3_11,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,1,AhyaWood17,Wood17,Wood,North,AC2_5_1,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,2,AhyaArlington8,Arlington8,Arlington,Central,AC2_5_2,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,3,AhyaArlington11,Arlington11,Arlington,Central,AC2_5_3,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,4,AhyaMartin12,Martin12,Martin,North,AC2_5_4,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,5,AhyaPalms16,Palms16,Palms,Central,AC2_5_5,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,6,AhyaArlington10,Arlington10,Arlington,Central,AC2_5_6,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,7,AhyaDavies9,Davies9,Davies,Central,AC2_5_7,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,8,AhyaPalms10,Palms10,Palms,Central,AC2_5_8,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,9,AhyaPalms5,Palms5,Palms,Central,AC2_5_9,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,10,AhyaWood5A,Wood5A,Wood,North,AC2_5_10,Ambient,1,1,1,1,1,1
