Reef,time,latitude,longitude,BAA,BAA_7D_MAX,DHW,HOTSPOT,SST,SST_ANOMALY
Davies,2000-01-01T12:00:00Z,-18.825,147.625,0,0,0,-0.24,28.15,0.2
Davies,2000-01-04T12:00:00Z,-18.825,147.625,0,0,0,-0.8,27.59,-0.43
Davies,2000-01-07T12:00:00Z,-18.825,147.625,0,0,0,-1,27.39,-0.7
Davies,2000-01-10T12:00:00Z,-18.825,147.625,0,0,0,-0.81,27.58,-0.58
Davies,2000-01-13T12:00:00Z,-18.825,147.625,0,0,0,-0.96,27.43,-0.79
Davies,2000-01-16T12:00:00Z,-18.825,147.625,0,0,0,-0.96,27.43,-0.84
Davies,2000-01-19T12:00:00Z,-18.825,147.625,0,0,0,-0.34,28.05,-0.24
Davies,2000-01-22T12:00:00Z,-18.825,147.625,0,0,0,-0.23,28.16,-0.14
Davies,2000-01-25T12:00:00Z,-18.825,147.625,0,0,0,-0.64,27.75,-0.56
Davies,2000-01-28T12:00:00Z,-18.825,147.625,0,0,0,-0.62,27.77,-0.55
Davies,2000-01-31T12:00:00Z,-18.825,147.625,0,0,0,-0.4,27.99,-0.34
Davies,2000-02-03T12:00:00Z,-18.825,147.625,0,0,0,-0.45,27.94,-0.4
Davies,2000-02-06T12:00:00Z,-18.825,147.625,0,0,0,-0.72,27.67,-0.69
Davies,2000-02-09T12:00:00Z,-18.825,147.625,0,0,0,-0.57,27.82,-0.55
Davies,2000-02-12T12:00:00Z,-18.825,147.625,0,0,0,-1.03,27.36,-1.02
Davies,2000-02-15T12:00:00Z,-18.825,147.625,0,0,0,-0.11,28.28,-0.11
Davies,2000-02-18T12:00:00Z,-18.825,147.625,0,0,0,-0.1,28.29,-0.04
Davies,2000-02-21T12:00:00Z,-18.825,147.625,0,0,0,-0.1,28.29,0.01
Davies,2000-02-24T12:00:00Z,-18.825,147.625,0,0,0,-0.25,28.14,-0.08
Davies,2000-02-27T12:00:00Z,-18.825,147.625,0,0,0,-0.47,27.92,-0.24
Davies,2000-03-01T12:00:00Z,-18.825,147.625,0,0,0,-0.62,27.77,-0.34
Davies,2000-03-04T12:00:00Z,-18.825,147.625,0,0,0,-0.93,27.46,-0.59
Davies,2000-03-07T12:00:00Z,-18.825,147.625,0,0,0,-1.4,26.99,-1
Davies,2000-03-10T12:00:00Z,-18.825,147.625,0,0,0,-0.94,27.45,-0.48
Davies,2000-03-13T12:00:00Z,-18.825,147.625,0,0,0,-0.54,27.85,-0.03
Davies,2000-03-16T12:00:00Z,-18.825,147.625,0,0,0,-0.42,27.97,0.16
Davies,2000-03-19T12:00:00Z,-18.825,147.625,0,0,0,-1.23,27.16,-0.56
Davies,2000-03-22T12:00:00Z,-18.825,147.625,0,0,0,-0.98,27.41,-0.21
Davies,2000-03-25T12:00:00Z,-18.825,147.625,0,0,0,-1.24,27.15,-0.38
Davies,2000-03-28T12:00:00Z,-18.825,147.625,0,0,0,-0.93,27.46,0.02
Davies,2000-03-31T12:00:00Z,-18.825,147.625,0,0,0,-0.91,27.48,0.14
Davies,2000-04-03T12:00:00Z,-18.825,147.625,0,0,0,-1.24,27.15,-0.1
Davies,2000-04-06T12:00:00Z,-18.825,147.625,0,0,0,-1.25,27.14,-0.02
Davies,2000-04-09T12:00:00Z,-18.825,147.625,0,0,0,-1.4,26.99,-0.08
Davies,2000-04-12T12:00:00Z,-18.825,147.625,0,0,0,-1.7,26.69,-0.28
Davies,2000-04-15T12:00:00Z,-18.825,147.625,0,0,0,-1.51,26.88,0
Davies,2000-04-18T12:00:00Z,-18.825,147.625,0,0,0,-1.4,26.99,0.24
Davies,2000-04-21T12:00:00Z,-18.825,147.625,0,0,0,-1.38,27.01,0.38
Davies,2000-04-24T12:00:00Z,-18.825,147.625,0,0,0,-1.82,26.57,0.07
Davies,2000-04-27T12:00:00Z,-18.825,147.625,0,0,0,-1.86,26.53,0.16
Davies,2000-04-30T12:00:00Z,-18.825,147.625,0,0,0,-2.16,26.23,-0.01
Davies,2000-05-03T12:00:00Z,-18.825,147.625,0,0,0,-2.36,26.03,-0.09
Davies,2000-05-06T12:00:00Z,-18.825,147.625,0,0,0,-2.17,26.22,0.23
Davies,2000-05-09T12:00:00Z,-18.825,147.625,0,0,0,-2.52,25.87,0.01
Davies,2000-05-12T12:00:00Z,-18.825,147.625,0,0,0,-2.57,25.82,0.08
Davies,2000-05-15T12:00:00Z,-18.825,147.625,0,0,0,-3.06,25.33,-0.28
Davies,2000-05-18T12:00:00Z,-18.825,147.625,0,0,0,-3.35,25.04,-0.42
Davies,2000-05-21T12:00:00Z,-18.825,147.625,0,0,0,-3.6,24.79,-0.52
Davies,2000-05-24T12:00:00Z,-18.825,147.625,0,0,0,-3.47,24.92,-0.24
Davies,2000-05-27T12:00:00Z,-18.825,147.625,0,0,0,-3.3,25.09,0.08
Davies,2000-05-30T12:00:00Z,-18.825,147.625,0,0,0,-3.54,24.85,-0.01
Davies,2000-06-02T12:00:00Z,-18.825,147.625,0,0,0,-4.21,24.18,-0.52
Davies,2000-06-05T12:00:00Z,-18.825,147.625,0,0,0,-4.56,23.83,-0.72
Davies,2000-06-08T12:00:00Z,-18.825,147.625,0,0,0,-4.6,23.79,-0.61
Davies,2000-06-11T12:00:00Z,-18.825,147.625,0,0,0,-5.02,23.37,-0.88
Davies,2000-06-14T12:00:00Z,-18.825,147.625,0,0,0,-4.88,23.51,-0.59
Davies,2000-06-17T12:00:00Z,-18.825,147.625,0,0,0,-4.85,23.54,-0.45
Davies,2000-06-20T12:00:00Z,-18.825,147.625,0,0,0,-4.95,23.44,-0.47
Davies,2000-06-23T12:00:00Z,-18.825,147.625,0,0,0,-4.7,23.69,-0.14
Davies,2000-06-26T12:00:00Z,-18.825,147.625,0,0,0,-4.87,23.52,-0.23
