#,Table,Temp_C,Intensity_Lux,Date,Time,Date_Time
56,1,30.054,4994.5,19/02/2022,15:14,19/02/2022 15:14
57,1,30.054,4994.5,19/02/2022,16:14,19/02/2022 16:14
58,1,30.054,2583.4,19/02/2022,17:14,19/02/2022 17:14
59,1,29.652,462.9,19/02/2022,18:14,19/02/2022 18:14
60,1,29.552,0,19/02/2022,19:14,19/02/2022 19:14
61,1,29.552,0,19/02/2022,20:14,19/02/2022 20:14
62,1,29.452,0,19/02/2022,21:14,19/02/2022 21:14
63,1,29.552,0,19/02/2022,22:14,19/02/2022 22:14
64,1,29.452,0,19/02/2022,23:14,19/02/2022 23:14
65,1,29.452,0,20/02/2022,0:14,20/02/2022 0:14
66,1,29.352,0,20/02/2022,1:14,20/02/2022 1:14
67,1,29.452,0,20/02/2022,2:14,20/02/2022 2:14
68,1,29.352,0,20/02/2022,3:14,20/02/2022 3:14
69,1,29.352,0,20/02/2022,4:14,20/02/2022 4:14
70,1,29.352,0,20/02/2022,5:14,20/02/2022 5:14
71,1,29.352,21.5,20/02/2022,6:14,20/02/2022 6:14
72,1,29.552,484.4,20/02/2022,7:14,20/02/2022 7:14
73,1,29.552,893.4,20/02/2022,8:14,20/02/2022 8:14
74,1,29.452,1022.6,20/02/2022,9:14,20/02/2022 9:14
75,1,29.752,1808.3,20/02/2022,10:14,20/02/2022 10:14
76,1,29.953,1722.2,20/02/2022,11:14,20/02/2022 11:14
77,1,30.054,2927.8,20/02/2022,12:14,20/02/2022 12:14
78,1,30.154,3100,20/02/2022,13:14,20/02/2022 13:14
79,1,30.154,2669.5,20/02/2022,14:14,20/02/2022 14:14
80,1,29.853,1980.6,20/02/2022,15:14,20/02/2022 15:14
81,1,29.752,1636.1,20/02/2022,16:14,20/02/2022 16:14
82,1,29.853,2411.1,20/02/2022,17:14,20/02/2022 17:14
83,1,29.652,258.3,20/02/2022,18:14,20/02/2022 18:14
84,1,29.552,0,20/02/2022,19:14,20/02/2022 19:14
85,1,29.552,0,20/02/2022,20:14,20/02/2022 20:14
86,1,29.452,0,20/02/2022,21:14,20/02/2022 21:14
87,1,29.452,0,20/02/2022,22:14,20/02/2022 22:14
88,1,29.452,0,20/02/2022,23:14,20/02/2022 23:14
89,1,29.452,0,21/02/2022,0:14,21/02/2022 0:14
90,1,29.452,0,21/02/2022,1:14,21/02/2022 1:14
91,1,29.452,0,21/02/2022,2:14,21/02/2022 2:14
92,1,29.352,0,21/02/2022,3:14,21/02/2022 3:14
93,1,29.352,0,21/02/2022,4:14,21/02/2022 4:14
94,1,29.352,0,21/02/2022,5:14,21/02/2022 5:14
95,1,29.352,21.5,21/02/2022,6:14,21/02/2022 6:14
96,1,29.452,473.6,21/02/2022,7:14,21/02/2022 7:14
97,1,29.552,818.1,21/02/2022,8:14,21/02/2022 8:14
98,1,29.552,828.8,21/02/2022,9:14,21/02/2022 9:14
99,1,29.953,2238.9,21/02/2022,10:14,21/02/2022 10:14
100,1,29.953,2669.5,21/02/2022,11:14,21/02/2022 11:14
101,1,29.853,1463.9,21/02/2022,12:14,21/02/2022 12:14
102,1,30.154,3444.5,21/02/2022,13:14,21/02/2022 13:14
103,1,30.255,4650,21/02/2022,14:14,21/02/2022 14:14
104,1,30.356,4994.5,21/02/2022,15:14,21/02/2022 15:14
105,1,30.255,3444.5,21/02/2022,16:14,21/02/2022 16:14
106,1,29.953,2325,21/02/2022,17:14,21/02/2022 17:14
107,1,29.752,398.3,21/02/2022,18:14,21/02/2022 18:14
108,1,29.752,0,21/02/2022,19:14,21/02/2022 19:14
109,1,29.752,0,21/02/2022,20:14,21/02/2022 20:14
110,1,29.652,0,21/02/2022,21:14,21/02/2022 21:14
111,1,29.652,0,21/02/2022,22:14,21/02/2022 22:14
112,1,29.652,0,21/02/2022,23:14,21/02/2022 23:14
113,1,29.652,0,22/02/2022,0:14,22/02/2022 0:14
114,1,29.652,0,22/02/2022,1:14,22/02/2022 1:14
115,1,29.652,0,22/02/2022,2:14,22/02/2022 2:14
116,1,29.652,0,22/02/2022,3:14,22/02/2022 3:14
117,1,29.652,0,22/02/2022,4:14,22/02/2022 4:14
118,1,29.552,0,22/02/2022,5:14,22/02/2022 5:14
119,1,29.652,10.8,22/02/2022,6:14,22/02/2022 6:14
120,1,29.752,484.4,22/02/2022,7:14,22/02/2022 7:14
121,1,29.853,1054.9,22/02/2022,8:14,22/02/2022 8:14
122,1,30.054,1636.1,22/02/2022,9:14,22/02/2022 9:14
123,1,29.953,2152.8,22/02/2022,10:14,22/02/2022 10:14
124,1,29.953,1463.9,22/02/2022,11:14,22/02/2022 11:14
125,1,30.356,3100,22/02/2022,12:14,22/02/2022 12:14
126,1,30.154,3961.1,22/02/2022,13:14,22/02/2022 13:14
127,1,30.255,4650,22/02/2022,14:14,22/02/2022 14:14
128,1,30.659,4822.3,22/02/2022,15:14,22/02/2022 15:14
129,1,30.457,4133.4,22/02/2022,16:14,22/02/2022 16:14
130,1,30.255,2152.8,22/02/2022,17:14,22/02/2022 17:14
131,1,30.054,258.3,22/02/2022,18:14,22/02/2022 18:14
132,1,29.953,0,22/02/2022,19:14,22/02/2022 19:14
133,1,29.953,0,22/02/2022,20:14,22/02/2022 20:14
134,1,29.853,0,22/02/2022,21:14,22/02/2022 21:14
135,1,29.853,0,22/02/2022,22:14,22/02/2022 22:14
136,1,29.853,0,22/02/2022,23:14,22/02/2022 23:14
137,1,29.853,0,23/02/2022,0:14,23/02/2022 0:14
138,1,29.752,0,23/02/2022,1:14,23/02/2022 1:14
139,1,29.752,0,23/02/2022,2:14,23/02/2022 2:14
140,1,29.752,0,23/02/2022,3:14,23/02/2022 3:14
141,1,29.752,0,23/02/2022,4:14,23/02/2022 4:14
142,1,29.752,0,23/02/2022,5:14,23/02/2022 5:14
143,1,29.752,10.8,23/02/2022,6:14,23/02/2022 6:14
144,1,29.853,516.7,23/02/2022,7:14,23/02/2022 7:14
145,1,30.154,1377.8,23/02/2022,8:14,23/02/2022 8:14
146,1,30.154,1463.9,23/02/2022,9:14,23/02/2022 9:14
147,1,30.154,1980.6,23/02/2022,10:14,23/02/2022 10:14
148,1,30.154,1980.6,23/02/2022,11:14,23/02/2022 11:14
149,1,30.154,2066.7,23/02/2022,12:14,23/02/2022 12:14
150,1,30.457,3961.1,23/02/2022,13:14,23/02/2022 13:14
151,1,30.457,4822.3,23/02/2022,14:14,23/02/2022 14:14
152,1,30.457,2152.8,23/02/2022,15:14,23/02/2022 15:14
153,1,30.255,990.3,23/02/2022,16:14,23/02/2022 16:14
154,1,30.154,398.3,23/02/2022,17:14,23/02/2022 17:14
155,1,30.054,355.2,23/02/2022,18:14,23/02/2022 18:14
156,1,30.054,0,23/02/2022,19:14,23/02/2022 19:14
157,1,30.054,0,23/02/2022,20:14,23/02/2022 20:14
158,1,29.953,0,23/02/2022,21:14,23/02/2022 21:14
159,1,29.953,0,23/02/2022,22:14,23/02/2022 22:14
160,1,29.953,0,23/02/2022,23:14,23/02/2022 23:14
161,1,29.853,0,24/02/2022,0:14,24/02/2022 0:14
162,1,29.853,0,24/02/2022,1:14,24/02/2022 1:14
163,1,29.853,0,24/02/2022,2:14,24/02/2022 2:14
164,1,29.953,0,24/02/2022,3:14,24/02/2022 3:14
165,1,29.953,0,24/02/2022,4:14,24/02/2022 4:14
166,1,29.853,0,24/02/2022,5:14,24/02/2022 5:14
167,1,29.853,10.8,24/02/2022,6:14,24/02/2022 6:14
168,1,29.953,366,24/02/2022,7:14,24/02/2022 7:14
169,1,30.054,742.7,24/02/2022,8:14,24/02/2022 8:14
170,1,30.356,1377.8,24/02/2022,9:14,24/02/2022 9:14
171,1,30.255,1636.1,24/02/2022,10:14,24/02/2022 10:14
172,1,30.154,1463.9,24/02/2022,11:14,24/02/2022 11:14
173,1,30.255,2583.4,24/02/2022,12:14,24/02/2022 12:14
174,1,30.356,5166.7,24/02/2022,13:14,24/02/2022 13:14
175,1,30.558,3444.5,24/02/2022,14:14,24/02/2022 14:14
176,1,30.558,3961.1,24/02/2022,15:14,24/02/2022 15:14
177,1,30.558,3788.9,24/02/2022,16:14,24/02/2022 16:14
178,1,30.862,1980.6,24/02/2022,17:14,24/02/2022 17:14
179,1,30.558,344.4,24/02/2022,18:14,24/02/2022 18:14
180,1,30.659,0,24/02/2022,19:14,24/02/2022 19:14
181,1,30.558,0,24/02/2022,20:14,24/02/2022 20:14
182,1,30.558,0,24/02/2022,21:14,24/02/2022 21:14
183,1,30.255,0,24/02/2022,22:14,24/02/2022 22:14
184,1,30.255,0,24/02/2022,23:14,24/02/2022 23:14
185,1,30.154,0,25/02/2022,0:14,25/02/2022 0:14
186,1,30.154,0,25/02/2022,1:14,25/02/2022 1:14
187,1,29.953,0,25/02/2022,2:14,25/02/2022 2:14
188,1,29.953,0,25/02/2022,3:14,25/02/2022 3:14
189,1,29.953,0,25/02/2022,4:14,25/02/2022 4:14
190,1,29.953,0,25/02/2022,5:14,25/02/2022 5:14
191,1,29.953,0,25/02/2022,6:14,25/02/2022 6:14
192,1,30.054,247.6,25/02/2022,7:14,25/02/2022 7:14
193,1,30.356,893.4,25/02/2022,8:14,25/02/2022 8:14
194,1,30.558,1259.4,25/02/2022,9:14,25/02/2022 9:14
195,1,30.558,1894.5,25/02/2022,10:14,25/02/2022 10:14
196,1,30.558,2497.2,25/02/2022,11:14,25/02/2022 11:14
197,1,30.558,3444.5,25/02/2022,12:14,25/02/2022 12:14
198,1,30.76,4133.4,25/02/2022,13:14,25/02/2022 13:14
199,1,30.963,4305.6,25/02/2022,14:14,25/02/2022 14:14
200,1,30.76,871.9,25/02/2022,15:14,25/02/2022 15:14
201,1,31.166,4305.6,25/02/2022,16:14,25/02/2022 16:14
202,1,30.76,1980.6,25/02/2022,17:14,25/02/2022 17:14
203,1,30.659,301.4,25/02/2022,18:14,25/02/2022 18:14
204,1,30.659,0,25/02/2022,19:14,25/02/2022 19:14
205,1,30.558,0,25/02/2022,20:14,25/02/2022 20:14
206,1,30.558,0,25/02/2022,21:14,25/02/2022 21:14
207,1,30.154,0,25/02/2022,22:14,25/02/2022 22:14
208,1,30.255,0,25/02/2022,23:14,25/02/2022 23:14
209,1,30.356,0,26/02/2022,0:14,26/02/2022 0:14
210,1,30.154,0,26/02/2022,1:14,26/02/2022 1:14
211,1,30.054,0,26/02/2022,2:14,26/02/2022 2:14
212,1,29.953,0,26/02/2022,3:14,26/02/2022 3:14
213,1,29.953,0,26/02/2022,4:14,26/02/2022 4:14
214,1,30.054,0,26/02/2022,5:14,26/02/2022 5:14
215,1,29.953,10.8,26/02/2022,6:14,26/02/2022 6:14
216,1,30.054,333.7,26/02/2022,7:14,26/02/2022 7:14
217,1,30.255,818.1,26/02/2022,8:14,26/02/2022 8:14
218,1,30.457,1194.8,26/02/2022,9:14,26/02/2022 9:14
219,1,30.356,1980.6,26/02/2022,10:14,26/02/2022 10:14
220,1,30.457,2238.9,26/02/2022,11:14,26/02/2022 11:14
221,1,30.659,3444.5,26/02/2022,12:14,26/02/2022 12:14
222,1,30.659,4477.8,26/02/2022,13:14,26/02/2022 13:14
223,1,30.659,5338.9,26/02/2022,14:14,26/02/2022 14:14
224,1,31.166,5166.7,26/02/2022,15:14,26/02/2022 15:14
225,1,30.862,3616.7,26/02/2022,16:14,26/02/2022 16:14
226,1,30.76,1722.2,26/02/2022,17:14,26/02/2022 17:14
227,1,30.558,129.2,26/02/2022,18:14,26/02/2022 18:14
228,1,30.457,0,26/02/2022,19:14,26/02/2022 19:14
229,1,30.558,0,26/02/2022,20:14,26/02/2022 20:14
230,1,30.558,0,26/02/2022,21:14,26/02/2022 21:14
231,1,30.558,0,26/02/2022,22:14,26/02/2022 22:14
232,1,30.356,0,26/02/2022,23:14,26/02/2022 23:14
233,1,30.255,0,27/02/2022,0:14,27/02/2022 0:14
234,1,30.255,0,27/02/2022,1:14,27/02/2022 1:14
235,1,30.255,0,27/02/2022,2:14,27/02/2022 2:14
236,1,30.255,0,27/02/2022,3:14,27/02/2022 3:14
237,1,30.154,0,27/02/2022,4:14,27/02/2022 4:14
238,1,30.154,0,27/02/2022,5:14,27/02/2022 5:14
239,1,30.154,10.8,27/02/2022,6:14,27/02/2022 6:14
240,1,30.154,322.9,27/02/2022,7:14,27/02/2022 7:14
241,1,30.356,731.9,27/02/2022,8:14,27/02/2022 8:14
242,1,30.356,1227.1,27/02/2022,9:14,27/02/2022 9:14
243,1,30.154,1722.2,27/02/2022,10:14,27/02/2022 10:14
244,1,30.255,2325,27/02/2022,11:14,27/02/2022 11:14
245,1,30.457,3100,27/02/2022,12:14,27/02/2022 12:14
246,1,30.558,3961.1,27/02/2022,13:14,27/02/2022 13:14
247,1,30.457,4133.4,27/02/2022,14:14,27/02/2022 14:14
248,1,30.659,5166.7,27/02/2022,15:14,27/02/2022 15:14
249,1,30.356,3788.9,27/02/2022,16:14,27/02/2022 16:14
250,1,30.356,1097.9,27/02/2022,17:14,27/02/2022 17:14
251,1,30.356,107.6,27/02/2022,18:14,27/02/2022 18:14
252,1,30.356,0,27/02/2022,19:14,27/02/2022 19:14
253,1,30.255,0,27/02/2022,20:14,27/02/2022 20:14
254,1,30.255,0,27/02/2022,21:14,27/02/2022 21:14
255,1,30.054,0,27/02/2022,22:14,27/02/2022 22:14
256,1,30.054,0,27/02/2022,23:14,27/02/2022 23:14
257,1,30.154,0,28/02/2022,0:14,28/02/2022 0:14
258,1,30.154,0,28/02/2022,1:14,28/02/2022 1:14
259,1,30.054,0,28/02/2022,2:14,28/02/2022 2:14
260,1,30.054,0,28/02/2022,3:14,28/02/2022 3:14
261,1,30.054,0,28/02/2022,4:14,28/02/2022 4:14
262,1,30.054,0,28/02/2022,5:14,28/02/2022 5:14
263,1,30.054,0,28/02/2022,6:14,28/02/2022 6:14
264,1,30.154,355.2,28/02/2022,7:14,28/02/2022 7:14
