No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,ColEnd,ColEndCor,GreyCorrectionScore,GreyCorrectionScoreDif
1,1,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F13,1,1,242,1,1.1.1,NA,NA,178,5.21
2,2,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,NA,NA,178,5.21
3,3,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,K8,1,1,242,3,1.1.3,NA,NA,178,5.21
4,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.1,130,141.21,184,11.21
5,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.2,130.449,141.659,184,11.21
6,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.3,123.514,134.724,184,11.21
7,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.4,122.157,133.367,184,11.21
8,5,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A1,1,2,71,2,1.2.2,NA,NA,184,11.21
9,6,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,K15,1,2,71,3,1.2.3,NA,NA,184,11.21
10,7,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1.1,105.359,115.569,183,10.21
11,7,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1.2,117.311,127.521,183,10.21
12,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.1,134.014,144.224,183,10.21
13,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.2,107.844,118.054,183,10.21
14,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.3,120.53,130.74,183,10.21
15,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.4,121.796,132.006,183,10.21
16,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.5,127.625,137.835,183,10.21
17,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.6,113.989,124.199,183,10.21
18,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.7,119.582,129.792,183,10.21
19,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.8,103.793,114.003,183,10.21
20,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.9,115.236,125.446,183,10.21
