Timepoint,No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,Area
T0,1,1,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F13,1,1,242,1,1.1.1,NA
T0,2,2,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,NA
T0,3,3,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,K8,1,1,242,3,1.1.3,NA
T0,4,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.1,0.963
T0,5,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.2,1.051
T0,6,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.3,1.151
T0,7,4,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1.4,1.401
T0,8,5,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A1,1,2,71,2,1.2.2,NA
T0,9,6,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,K15,1,2,71,3,1.2.3,NA
T0,10,7,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1.1,3.624
T0,11,7,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,A1,1,3,70,1,1.3.1.2,1.993
T0,12,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.1,2.391
T0,13,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.2,3.312
T0,14,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.3,2.665
T0,15,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.4,2.341
T0,16,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.5,1.731
T0,17,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.6,2.129
T0,18,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.7,2.876
T0,19,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.8,2.515
T0,20,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.9,1.121
T0,21,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.10,1.507
T0,22,8,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A1,1,3,70,2,1.3.2.11,1.22
T0,23,9,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A2,1,3,70,3,1.3.3,NA
T0,24,10,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,B15,1,4,69,1,1.4.1,NA
T0,25,11,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,I15,1,4,69,2,1.4.2,NA
T0,26,12,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,D15,1,4,69,3,1.4.3.1,1.985
