No,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,RecruitsStart,RecruitsEnd,RecruitsDead,SurvivalPerc,Notes,Survival
1,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F13,1,1,242,1,1.1.1,3,0,3,0,,0
2,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F13,1,1,242,1,1.1.1,3,0,3,0,,0
3,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F13,1,1,242,1,1.1.1,3,0,3,0,,0
4,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,5,0,5,0,,0
5,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,5,0,5,0,,0
6,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,5,0,5,0,,0
7,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,5,0,5,0,,0
8,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C13,1,1,242,2,1.1.2,5,0,5,0,,0
9,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,Hybrid,Hybrid,Hybrid,K8,1,1,242,3,1.1.3,0,0,0,NA,remove,NA
10,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,1
11,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,1
12,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,1
13,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,1
14,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,0
15,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,0
16,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,0
17,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A1,1,2,71,1,1.2.1,9,4,5,44.44444444,,0
